,Датування,B-dating_criteria
20628,|,O
20629,е,O
20630,уст,O
20631,|,O
20632,ефа--,O
20633,особове,O
20634,та,O
20635,родове,O
20636,імена,O
20637,автора,O
20638,Мо[исеи,O
20639,едор[рович,O
20640,Мойсей,O
20641,Федорович,O
20642,дилась,O
20643,біля,O
20644,західного,O
20645,порталу,O
20646,що,O
20647,зруйнувався,O
20648,у,I-object_type
20649,цей,O
20650,час,O
20651,або,O
20652,до,O
20653,межі,O
20654,XVII,O
20655,XVIII,O
20656,Датування,B-dating_criteria
20657,Друга,O
20658,чверть,O
20659,XІ,O
20660,кінець,O
20661,ХІІ,O
20662,ст.,O
20663,за,O
20664,формою,O
20665,написання,O
20666,а,O
20667,з,I-object_type
20668,видовженою,O
20669,Графіті,B-inscription
20670,№,O
20671,704,O
20672,табл,O
20673,LХХХVІ,O
20674,3,O
20675,вершеною,O
20676,формою,O
20677,традиційної,O
20678,формули,O
20679,Г(оспод)и,O
20680,помози,O
20681,Господи,O
20682,поможи,O
20683,Розташування,B-other
20684,Висота,O
20685,від,O
20686,сучасної,O
20687,підлоги,O
20688,98,O
20689,см,O
20690,відстань,O
20691,від,O
20692,лівого,O
20693,кута,O
20694,49	5,O
20695,см,O
20696,Графіті,B-inscription
20697,№,O
20698,714,O
20699,табл,O
20700,ХС,O
20701,3,O
20702,Розташування,B-other
20703,Висота,O
20704,від,O
20705,сучасної,O
20706,підлоги,O
20707,42,O
20708,см,O
20709,відстань,O
20710,від,O
20711,лівого,O
20712,кута,O
20713,32,O
20714,см,O
20715,Року,O
20716,҂,O
20717,ах͠ке,O
20718,был(и,O
20719,тꙋ[т,O
20720,Алеѯ(а)н(др,O
20721,Богданович,O
20722,і,O
20723,Симон,O
20724,Авдеевич,O
20725,з,I-object_type
20726,Бро[да,O
20727,Красна,O
20728,тою,O
20729,петлею,O
20730,та,O
20731,н,O
20732,зі,O
20733,скісною,O
20734,перемичкою,O
20735,------к͠в,O
20736,претⷭавиⷭⷭ,O
20737,раⷠ,O
20738,бж͠іи,O
20739,ома,O
20740,Опис,B-inscription
20741,Поверхня,O
20742,стіни,I-object_type
20743,в,O
20744,місці,O
20745,розташування,O
20746,напису,I-preservation_state
20747,сильно,O
20748,пошкоджена,O
20749,У,O
20750,вер-,O
20751,Опис,B-inscription
20752,Збереженість,O
20753,напису,I-preservation_state
20754,доволі,O
20755,добра,I-inscription_type
20756,вибоями,O
20757,знищені,O
20758,тільки,O
20759,дві,O
20760,літери,O
20761,в,O
20762,них,O
20763,поминальних,O
20764,служб,O
20765,Точну,O
20766,кількість,O
20767,вертикальних,O
20768,засічок,O
20769,з,I-object_type
20770,яких,O
20771,він,O
20772,склада-,O
20773,храму,I-object_type
20774,під,I-object_type
20775,час,O
20776,богослужіння,O
20777,Наявний,O
20778,фрагмент,O
20779,малюнку,O
20780,виконаний,O
20781,на,I-inscription_type
20782,високому,O
20783,про-,O
20784,Датування,B-dating_criteria
20785,Друга,O
20786,чверть,O
20787,ХІ,O
20788,кінець,O
20789,XІV,O
20790,ст.,O
20791,за,O
20792,типологічним,O
20793,методом,O
20794,Датування,B-dating_criteria
20795,Кінець,O
20796,XVІ,O
20797,кінець,O
20798,XVІI,O
20799,ст.,O
20800,за,O
20801,скорописними,O
20802,формами,O
20803,написання,O
20804,Опис,B-inscription
20805,На,O
20806,фресці,I-inscription_type
20807,прокреслений,B-decoration
20808,чотириконечний,I-decoration
20809,хрест,I-decoration
20810,з,I-object_type
20811,розширеними,O
20812,у,I-object_type
20813,вигляді,O
20814,Категорія,O
20815,Молитовний,O
20816,напис,I-inscription_type
20817,Графіті,B-inscription
20818,№,O
20819,4295,O
20820,табл,O
20821,С,O
20822,Ох,O
20823,сороковиця,O
20824,прости,O
20825,мене,O
20826,Кузьму,O
20827,ох,O
20828,Категорія,O
20829,Молитовний,O
20830,напис,I-inscription_type
20831,виконали,O
20832,на,I-inscription_type
20833,фресці,I-inscription_type
20834,інше,O
20835,зображення,I-decoration
20836,Опис,B-inscription
20837,На,O
20838,фресці,I-inscription_type
20839,прокреслене,O
20840,слово,O
20841,рабъ,O
20842,раб,O
20843,Датування,B-dating_criteria
20844,Друга,O
20845,чверть,O
20846,XІІ,O
20847,кінець,O
20848,XV,O
20849,ст.,O
20850,за,O
20851,формою,O
20852,написання,O
20853,и,O
20854,з,I-object_type
20855,гори-,O
20856,Господи,O
20857,поможи,O
20858,своєму,O
20859,Іллі,O
20860,грішному,O
20861,амінь,O
20862,помꙗни,O
20863,Г------мꙗ,O
20864,Графіті,B-inscription
20865,№,O
20866,4321,O
20867,табл,O
20868,СVІІ,O
20869,4,O
20870,Розташування,B-other
20871,Висота,O
20872,від,O
20873,сучасної,O
20874,підлоги,O
20875,108,O
20876,см,O
20877,відстань,O
20878,від,O
20879,лівого,O
20880,ребра,O
20881,вгору,O
20882,спинкою,O
20883,нахиленої,O
20884,праворуч,O
20885,з,I-object_type
20886,із,O
20887,переломом,O
20888,ш,O
20889,з,I-object_type
20890,платформою,O
20891,над,O
20892,рядком,O
20893,Опис,B-inscription
20894,По,O
20895,личкувальному,O
20896,розчину,O
20897,був,O
20898,прокреслений,B-decoration
20899,малюнок,B-decoration
20900,чотириконечного,O
20901,Прикметне,O
20902,що,O
20903,в,O
20904,написі,O
20905,згадується,O
20906,слов'янська,O
20907,форма,O
20908,назви,O
20909,місяця,O
20910,изокъ,O
20911,за-,O
20912,Опис,B-inscription
20913,Тиньк,B-material
20914,в,O
20915,місці,O
20916,розташування,O
20917,напису,I-preservation_state
20918,пошкоджений,O
20919,його,O
20920,закінчення,O
20921,зовсім,O
20922,ѣнхъотъ,O
20923,дс--------,O
20924,Датування,B-dating_criteria
20925,Кінець,O
20926,XVI,O
20927,кінець,O
20928,XVII,O
20929,ст.,O
20930,за,O
20931,формою,O
20932,прорізів,O
20933,та,O
20934,скорописними,O
20935,жемо,O
20936,встановити,O
20937,що,O
20938,тут,O
20939,була,O
20940,прокреслена,O
20941,літера,O
20942,М.,O
20943,Категорія,O
20944,Молитовний,O
20945,напис,I-inscription_type
20946,Розташування,B-other
20947,Висота,O
20948,від,O
20949,основи,O
20950,72,O
20951,см,O
20952,Опис,B-inscription
20953,Складові,O
20954,напису,I-preservation_state
20955,сильно,O
20956,пошкоджені,O
20957,подряпинами,O
20958,та,O
20959,вибоями,O
20960,збереглась,O
20961,Графіті,B-inscription
20962,№,O
20963,147,O
20964,табл,O
20965,ХХVІІІ,O
20966,1,O
20967,літер,O
20968,та,O
20969,формою,O
20970,прорізів,O
20971,Графіті,B-inscription
20972,№,O
20973,625,O
20974,табл,O
20975,LХХVІІІ,O
20976,1,O
20977,мозаїчному,O
20978,сюжеті,O
20979,Благовіщення,O
20980,Софійського,O
20981,собору37,O
20982,Така,O
20983,подібність,O
20984,дозволяє,O
20985,Категорія,O
20986,Символи,O
20987,пов'язані,O
20988,з,I-object_type
20989,частинами,O
20990,людського,O
20991,тіла,O
20992,Святий,O
20993,Нікола,O
20994,моли,O
20995,за,O
20996,раба,O
20997,Божого,O
20998,Захарію,O
20999,і,O
21000,прости,O
21001,мене,O
21002,грішного,O
21003,сходової,I-object_type
21004,вежі,I-object_type
21005,табл,O
21006,ІV,O
21007,Висота,O
21008,від,O
21009,рівня,O
21010,давньої,O
21011,підлоги,O
21012,182,O
21013,см,O
21014,відстань,O
21015,від,O
21016,лівого,O
21017,рюються,O
21018,що,O
21019,перешкоджає,O
21020,їх,O
21021,впевненій,O
21022,ідентифікації,O
21023,Так,O
21024,само,O
21025,через,O
21026,крихкість,O
21027,Категорія,O
21028,Молитовний,O
21029,напис,I-inscription_type
21030,ст͠:м҃,O
21031,|,O
21032,моуче,O
21033,|,O
21034,нципо,O
21035,|,O
21036,молите,O
21037,|,O
21038,сѧꙁа,O
21039,|,O
21040,рабасво,O
21041,|,O
21042,егопе,O
21043,|,O
21044,тра,O
21045,собору,O
21046,його,O
21047,публікував,O
21048,С.,O
21049,Висоцький78,O
21050,Опис,B-inscription
21051,На,O
21052,фресці,I-inscription_type
21053,прокреслені,O
21054,літери,O
21055,ПОМ,O
21056,які,O
21057,найвірогідніше,O
21058,розглядати,O
21059,як,O
21060,ско-,O
21061,саючою,O
21062,петлею,O
21063,та,O
21064,нахиленими,O
21065,щоглами,O
21066,Категорія,O
21067,Молитовний,O
21068,напис,I-inscription_type
21069,хліо-----------,O
21070,волі,O
21071,впевнено,O
21072,-цамолюпом-----,O
21073,Помяни,O
21074,святий,O
21075,Анфім,O
21076,чевидь,O
21077,сцена,O
21078,має,O
21079,зображати,O
21080,диявола,O
21081,в,O
21082,образі,O
21083,змія,O
21084,спокусника,O
21085,ється,O
21086,встановити,O
21087,не,O
21088,вдається,O
21089,Чотири,O
21090,засічки,O
21091,заходять,O
21092,на,I-inscription_type
21093,сусідню,O
21094,південну,O
21095,сторону,O
21096,Фреска,B-object_type
21097,розташована,O
21098,у,I-object_type
21099,північно,O
21100,східному,O
21101,куті,O
21102,хрещальні,I-object_type
21103,на,I-inscription_type
21104,західній,O
21105,площині,O
21106,Датування,B-dating_criteria
21107,Друга,O
21108,чверть,O
21109,ХІ,O
21110,кінець,O
21111,ХVІ,O
21112,ст.,O
21113,за,O
21114,формою,O
21115,прорізів,O
21116,З,O
21117,розбивкою,O
21118,на,I-inscription_type
21119,слова,O
21120,та,O
21121,відновленням,O
21122,втрачених,O
21123,фрагментів,O
21124,текст,O
21125,виглядає,O
21126,частині,O
21127,нартексу,O
21128,табл,O
21129,ХІ,O
21130,1,O
21131,розбита,O
21132,на,I-inscription_type
21133,дві,O
21134,частини,O
21135,Окрім,O
21136,самого,O
21137,тіла,O
21138,колони,O
21139,Опис,B-inscription
21140,Тиньк,B-material
21141,в,O
21142,місці,O
21143,розташування,O
21144,дворядкового,O
21145,напису,I-preservation_state
21146,сильно,O
21147,пошкоджений,O
21148,Публікації,O
21149,В.,O
21150,Корнієнко96,O
21151,Датування,B-dating_criteria
21152,Друга,O
21153,чверть,O
21154,кінець,O
21155,XI,O
21156,ст.,O
21157,за,O
21158,особливостями,O
21159,розташування,O
21160,Категорія,O
21161,Абетки,O
21162,склади,O
21163,та,O
21164,окремі,O
21165,літери,O
21166,замерзати,O
21167,на,I-inscription_type
21168,озері,O
21169,а,O
21170,вівтар,I-monument_subtype
21171,полум'яний,O
21172,божественне,O
21173,світло,O
21174,яке,O
21175,осяяло,O
21176,з,I-object_type
21177,неба,O
21178,му-,O
21179,обведене,O
21180,в,O
21181,коло,O
21182,яке,O
21183,подібно,O
21184,розширенням,O
21185,прикрашене,O
21186,штриховкою,O
21187,Згадані,O
21188,С.,O
21189,Ви-,O
21190,ноступінчасту,O
21191,Голгофу,O
21192,Перекладина,O
21193,хреста,O
21194,тільки,O
21195,намічена,O
21196,одинарною,O
21197,рискою,O
21198,Розташування,B-other
21199,Висота,O
21200,від,O
21201,сучасної,O
21202,підлоги,O
21203,84,O
21204,см,O
21205,відстань,O
21206,від,O
21207,лівого,O
21208,кута,O
21209,497,O
21210,см,O
21211,Опис,B-inscription
21212,На,O
21213,фресці,I-inscription_type
21214,прокреслені,O
21215,літери,O
21216,Г,O
21217,що,O
21218,є,O
21219,традиційним,O
21220,скороченням,O
21221,слова-,O
21222,деякий,O
21223,час,O
21224,перебувала,O
21225,на,I-inscription_type
21226,софійському,O
21227,подвір'ї,O
21228,а,O
21229,згодом,O
21230,була,O
21231,присипана,O
21232,землею,O
21233,Мож-,O
21234,шпакльована,O
21235,яка,O
21236,пошкодила,O
21237,другу,O
21238,літеру,O
21239,у,I-object_type
21240,верхньому,O
21241,рядку,O
21242,і,O
21243,практично,O
21244,знищила,O
21245,Датування,B-dating_criteria
21246,Друга,O
21247,чверть,O
21248,ХІ,O
21249,кінець,O
21250,ХV,O
21251,ст.,O
21252,за,O
21253,формою,O
21254,прорізів,O
21255,сильно,O
21256,пошкод-,O
21257,женою,O
21258,спинкою,O
21259,Розташування,B-other
21260,Висота,O
21261,від,O
21262,сучасної,O
21263,підлоги,O
21264,75,O
21265,см,O
21266,відстань,O
21267,від,O
21268,правого,O
21269,ребра,O
21270,Опис,B-inscription
21271,Напис,O
21272,виконаний,O
21273,досить,O
21274,розмашистим,O
21275,почерком,O
21276,так,O
21277,що,O
21278,на,I-inscription_type
21279,перший,O
21280,по-,O
21281,Розташування,B-other
21282,Висота,O
21283,від,O
21284,сучасної,O
21285,підлоги,O
21286,92,O
21287,см,O
21288,відстань,O
21289,від,O
21290,лівого,O
21291,кута,O
21292,107,O
21293,см,O
21294,Категорія,O
21295,Абетки,O
21296,склади,O
21297,та,O
21298,окремі,O
21299,літери,O
21300,С(вѧ)тыи,O
21301,м҃.,O
21302,Датування,B-dating_criteria
21303,Друга,O
21304,чверть,O
21305,XІI,O
21306,ст.,O
21307,за,O
21308,формою,O
21309,прорізів,O
21310,Дипінті,O
21311,№,O
21312,719е,O
21313,табл,O
21314,ХСІV,O
21315,2,O
21316,Фрагмент,O
21317,мармурової,O
21318,колони,O
21319,довжиною,O
21320,близько,O
21321,1	5,O
21322,м,O
21323,що,O
21324,нині,O
21325,експонується,O
21326,у,I-object_type
21327,Розташування,B-other
21328,Висота,O
21329,від,O
21330,сучасної,O
21331,підлоги,O
21332,163	5,O
21333,см,O
21334,відстань,O
21335,від,O
21336,лівого,O
21337,кута,O
21338,Опис,B-inscription
21339,Напис,O
21340,виконаний,O
21341,червоною,O
21342,фарбою,O
21343,по,O
21344,поверхні,O
21345,фрески,I-object_type
21346,він,O
21347,зберігся,O
21348,критою,O
21349,високою,O
21350,петлею,O
21351,Ъ,O
21352,подібної,O
21353,з,I-object_type
21354,за,O
21355,типовістю,O
21356,поширення,O
21357,таких,O
21358,палеографіч-,O
21359,формами,O
21360,написання,O
21361,літер,O
21362,ГРАФІТІ,B-inscription
21363,НА,O
21364,МАРМУРОВИХ,O
21365,КОЛОНАХ,O
21366,У,O
21367,НАРТЕКСІ,O
21368,СОФІЙСЬКОГО,O
21369,СОБОРУ,O
21370,З,O
21371,розбивкою,O
21372,на,I-inscription_type
21373,слова,O
21374,та,O
21375,відновленням,O
21376,втрачених,O
21377,фрагментів,O
21378,наявний,O
21379,текст,O
21380,ви-,O
21381,Автор,O
21382,напису,I-preservation_state
21383,походив,O
21384,з,I-object_type
21385,родини,O
21386,Мойських,O
21387,герб,O
21388,Яструбець)189,O
21389,пом,O
21390,зверху,O
21391,Датування,B-dating_criteria
21392,Остання,O
21393,чверть,O
21394,XІІ,O
21395,початок,O
21396,ХІІІ,O
21397,ст.,O
21398,за,O
21399,формою,O
21400,написання,O
21401,б,O
21402,з,I-object_type
21403,ви-,O
21404,Категорія,O
21405,Абетки,O
21406,склади,O
21407,та,O
21408,окремі,O
21409,літери,O
21410,з,I-object_type
21411,переломом,O
21412,при,O
21413,щоглі,O
21414,нахиленої,O
21415,ліворуч,O
21416,е,O
21417,нахиленої,O
21418,праворуч,O
21419,з,I-object_type
21420,із,O
21421,переломом,O
21422,пря-,O
21423,поⷨѧ----,O
21424,|,O
21425,Іванап,O
21426,|,O
21427,моу---,O
21428,|,O
21429,лицⷡа,O
21430,формами,O
21431,написання,O
21432,літер,O
21433,крашали,O
21434,західну,O
21435,частину,O
21436,Софійського,O
21437,собору42,O
21438,то,O
21439,епіграфічні,O
21440,пам'ятки,O
21441,що,O
21442,знахо-,O
21443,Опис,B-inscription
21444,На,O
21445,фресці,I-inscription_type
21446,прокреслене,O
21447,особове,O
21448,та,O
21449,родове,O
21450,імена,O
21451,автора,O
21452,Jan,O
21453,Kaminski,O
21454,Ян,O
21455,Опис,B-inscription
21456,Тиньк,B-material
21457,в,O
21458,місці,O
21459,розташування,O
21460,напису,I-preservation_state
21461,пошкоджений,O
21462,вибоями,O
21463,тому,O
21464,частина,I-other
21465,Датування,B-dating_criteria
21466,Друга,O
21467,чверть,O
21468,XІІ,O
21469,кінець,O
21470,XVІ,O
21471,ст.,O
21472,за,O
21473,формою,O
21474,прорізів,O
21475,Датування,B-dating_criteria
21476,Кінець,O
21477,XІІ,O
21478,початок,O
21479,XІІI,O
21480,ст.,O
21481,за,O
21482,формою,O
21483,написання,O
21484,в,O
21485,з,I-object_type
21486,нижньою,O
21487,Категорія,O
21488,Молитовний,O
21489,напис,I-inscription_type
21490,Категорія,O
21491,Пам'ятний,O
21492,напис,I-inscription_type
21493,Категорія,O
21494,Фрагмент,O
21495,напису,I-preservation_state
21496,Датування,B-dating_criteria
21497,Кінець,O
21498,ХVI,O
21499,кінець,O
21500,XVII,O
21501,ст.,O
21502,за,O
21503,формою,O
21504,прорізів,O
21505,та,O
21506,скорописними,O
21507,Опис,B-inscription
21508,На,O
21509,фресці,I-inscription_type
21510,виконаний,O
21511,запис,B-inscripiton_type
21512,імені,I-epigraphic_shorthand
21513,Василиꙗ,O
21514,Василя,O
21515,Відмінок,O
21516,імені,I-epigraphic_shorthand
21517,що,O
21518,зі,O
21519,щогли,I-object_type
21520,перекладини,O
21521,та,O
21522,символічної,O
21523,таблички,O
21524,над,O
21525,головою,O
21526,Ісуса,O
21527,Христа,O
21528,Категорія,O
21529,Молитовний,O
21530,напис,I-inscription_type
21531,Розташування,B-other
21532,Висота,O
21533,від,O
21534,сучасної,O
21535,підлоги,O
21536,46,O
21537,см,O
21538,відстань,O
21539,від,O
21540,лівого,O
21541,кута,O
21542,36,O
21543,см,O
21544,Датування,B-dating_criteria
21545,Кінець,O
21546,XVІ,O
21547,кінець,O
21548,XVІI,O
21549,ст.,O
21550,за,O
21551,скорописними,O
21552,формами,O
21553,написання,O
21554,Категорія,O
21555,Абетки,O
21556,склади,O
21557,та,O
21558,окремі,O
21559,літери,O
21560,Опис,B-inscription
21561,Поверхня,O
21562,стіни,I-object_type
21563,в,O
21564,місці,O
21565,розташування,O
21566,напису,I-preservation_state
21567,сильно,O
21568,затерта,O
21569,тому,O
21570,збе-,O
21571,Розташування,B-other
21572,Висота,O
21573,від,O
21574,сучасної,O
21575,підлоги,O
21576,57,O
21577,см,O
21578,відстань,O
21579,від,O
21580,лівого,O
21581,кута,O
21582,21,O
21583,см,O
21584,Датування,B-dating_criteria
21585,Друга,O
21586,чверть,O
21587,XІІ,O
21588,кінець,O
21589,XІV,O
21590,ст.,O
21591,за,O
21592,формою,O
21593,написання,O
21594,г,O
21595,з,I-object_type
21596,висту-,O
21597,тільки,O
21598,п'ять,O
21599,літер,O
21600,початку,O
21601,рядка,O
21602,Публікації,O
21603,В.,O
21604,Корнієнко27,O
21605,вибоїну,O
21606,перед,O
21607,першою,O
21608,літерою,O
21609,текст,O
21610,найвірогідніше,O
21611,реконструювати,O
21612,як,O
21613,запис,B-inscripiton_type
21614,імені,I-epigraphic_shorthand
21615,Опис,B-inscription
21616,Рахункова,O
21617,частина,I-other
21618,однорядкового,O
21619,запису,O
21620,обчислення,I-inscription_type
21621,кількості,I-inscription_type
21622,проведе-,O
21623,ної,O
21624,сходової,I-object_type
21625,вежі,I-object_type
21626,табл,O
21627,ІV,O
21628,Висота,O
21629,від,O
21630,рівня,O
21631,давньої,O
21632,підлоги,O
21633,175,O
21634,см,O
21635,відстань,O
21636,від,O
21637,лі-,O
21638,тому,O
21639,впевнено,O
21640,можуть,O
21641,бути,O
21642,ідентифіковані,O
21643,тільки,O
21644,кілька,O
21645,з,I-object_type
21646,них,O
21647,УГЛДВРВ,O
21648,у,I-object_type
21649,серед-,O
21650,Датування,B-dating_criteria
21651,Друга,O
21652,чверть,O
21653,ХІІ,O
21654,кінець,O
21655,XVІ,O
21656,ст.,O
21657,за,O
21658,формою,O
21659,прорізів,O
21660,Категорія,O
21661,Зображення,O
21662,ангелів,O
21663,та,O
21664,святих,O
21665,Опис,B-inscription
21666,Ліва,O
21667,частина,I-other
21668,напису,I-preservation_state
21669,знищена,O
21670,обвалом,O
21671,тиньку,O
21672,проте,O
21673,наявні,O
21674,складові,O
21675,Овстат,O
21676,писав,O
21677,Графіті,B-inscription
21678,№,O
21679,447,O
21680,табл,O
21681,ХХХІІІ,O
21682,2,O
21683,Опис,B-inscription
21684,На,O
21685,фресці,I-inscription_type
21686,прокреслений,B-decoration
21687,квадрат,O
21688,розділений,O
21689,хрестом,O
21690,на,I-inscription_type
21691,чотири,O
21692,рівні,O
21693,час-,O
21694,Розташування,B-other
21695,Висота,O
21696,від,O
21697,сучасної,O
21698,підлоги,O
21699,80,O
21700,см,O
21701,відстань,O
21702,від,O
21703,лівого,O
21704,кута,O
21705,42,O
21706,см,O
21707,Категорія,O
21708,Молитовний,O
21709,напис,I-inscription_type
21710,помітна,O
21711,нижня,O
21712,частина,I-other
21713,аналогічного,O
21714,медальйону,O
21715,На,O
21716,підставі,O
21717,інформації,O
21718,графіті,B-inscription_type
21719,лою,O
21720,та,O
21721,петлею,O
21722,кутом,O
21723,вперед,O
21724,ъ,O
21725,з,I-object_type
21726,округлою,O
21727,петлею127,O
21728,Автор,O
21729,напису,I-preservation_state
21730,походив,O
21731,з,I-object_type
21732,родини,O
21733,Стойовських,O
21734,герб,O
21735,Тромби,O
21736,Краківського,O
21737,воє-,O
21738,Категорія,O
21739,Молитовний,O
21740,напис,I-inscription_type
21741,Графіті,B-inscription
21742,№,O
21743,4274,O
21744,Опис,B-inscription
21745,На,O
21746,поверхні,O
21747,стіни,I-object_type
21748,прокреслена,O
21749,кисть,O
21750,руки,O
21751,в,O
21752,жесті,O
21753,благословення,O
21754,формами,O
21755,написання,O
21756,літер,O
21757,Графіті,B-inscription
21758,№,O
21759,438,O
21760,табл,O
21761,ХХХІ,O
21762,5,O
21763,Категорія,O
21764,Молитовний,O
21765,напис,I-inscription_type
21766,формами,O
21767,написання,O
21768,літер,O
21769,Опис,B-inscription
21770,На,O
21771,фресці,I-inscription_type
21772,прокреслений,B-decoration
21773,простий,O
21774,чотириконечний,I-decoration
21775,хрест,I-decoration
21776,Г(оспод)и,O
21777,помози,O
21778,рабоу,O
21779,своемоу,O
21780,Ивнови,O
21781,гр{ѣшьномоу,O
21782,Графіті,B-inscription
21783,№,O
21784,583,O
21785,табл,O
21786,ХL,O
21787,3,O
21788,Господи,O
21789,поможи,O
21790,рабу,O
21791,своєму,O
21792,Павлу,O
21793,таким,O
21794,чином,O
21795,правій,O
21796,частині,O
21797,фрески,I-object_type
21798,для,O
21799,одного,O
21800,з,I-object_type
21801,відступників,O
21802,Композиція,O
21803,ця,O
21804,виконувалась,O
21805,у,I-object_type
21806,два,O
21807,ім'я,O
21808,Козьма,O
21809,Кузьма,O
21810,На,O
21811,думку,O
21812,його,O
21813,автора,O
21814,множина,O
21815,від,O
21816,слова,O
21817,мѫченикъ,O
21818,буде,O
21819,не,O
21820,мчⷩкъ,O
21821,а,O
21822,мчнка,O
21823,кутом,O
21824,донизу,O
21825,а,O
21826,також,O
21827,за,O
21828,структурою,O
21829,формули,O
21830,Датування,B-dating_criteria
21831,Кінець,O
21832,XVI,O
21833,кінець,O
21834,XVII,O
21835,ст.,O
21836,за,O
21837,формою,O
21838,прорізів,O
21839,та,O
21840,скорописними,O
21841,Розташування,B-other
21842,Знаходиться,O
21843,на,I-inscription_type
21844,фресковому,O
21845,тиньку,O
21846,фасадної,O
21847,стіни,I-object_type
21848,північної,O
21849,Розташування,B-other
21850,Висота,O
21851,від,O
21852,основи,O
21853,121,O
21854,см,O
21855,дозволяють,O
21856,реконструювати,O
21857,слово,O
21858,звернення,I-inscription_type
21859,Госпо[ди,O
21860,Господи,O
21861,формами,O
21862,написання,O
21863,літер,O
21864,Датування,B-dating_criteria
21865,Кінець,O
21866,XІV,O
21867,кінець,O
21868,XV,O
21869,ст.,O
21870,за,O
21871,формою,O
21872,написання,O
21873,а,O
21874,з,I-object_type
21875,майже,O
21876,вер-,O
21877,Категорія,O
21878,Фрагмент,O
21879,напису,I-preservation_state
21880,Датування,B-dating_criteria
21881,Друга,O
21882,чверть,O
21883,XІІ,O
21884,початок,O
21885,XІІІ,O
21886,ст.,O
21887,за,O
21888,формою,O
21889,написання,O
21890,а,O
21891,з,I-object_type
21892,опук-,O
21893,літери,O
21894,від,O
21895,фрази,O
21896,помѧн]и,O
21897,ра[ба,O
21898,пом'яни,O
21899,раба,O
21900,Датування,B-dating_criteria
21901,Середина,O
21902,ХІІ,O
21903,кінець,O
21904,XV,O
21905,ст.,O
21906,за,O
21907,формою,O
21908,написання,O
21909,е,O
21910,з,I-object_type
21911,язичком,O
21912,Графіті,B-inscription
21913,№,O
21914,619,O
21915,табл,O
21916,LХХVІ,O
21917,3,O
21918,жають,O
21919,дослідники,O
21920,також,O
21921,походить,O
21922,з,I-object_type
21923,Софійського,O
21924,собору,O
21925,і,O
21926,може,O
21927,бути,O
21928,віднесений,O
21929,Т[у]т,O
21930,был,O
21931,рабъ,O
21932,Б(о)жи(и,O
21933,Иоан[ъ,O
21934,Графіті,B-inscription
21935,№,O
21936,4278,O
21937,Розташування,B-other
21938,Висота,O
21939,від,O
21940,сучасної,O
21941,підлоги,O
21942,40,O
21943,см,O
21944,відстань,O
21945,від,O
21946,лівого,O
21947,кута,O
21948,35,O
21949,см,O
21950,личкувального,O
21951,розчину,O
21952,який,O
21953,нанесли,O
21954,на,I-inscription_type
21955,стіни,I-object_type
21956,храму,I-object_type
21957,на,I-inscription_type
21958,межі,O
21959,XVII,O
21960,XVIII,O
21961,ст.,O
21962,Тож,O
21963,від-,O
21964,Датування,B-dating_criteria
21965,Кінець,O
21966,XІ,O
21967,кінець,O
21968,ХІІ,O
21969,ст.,O
21970,формою,O
21971,написання,O
21972,а,O
21973,з,I-object_type
21974,видовженою,O
21975,Б](огороди)ца,O
21976,молю,O
21977,пом[илуи,O
21978,Категорія,O
21979,Хрести,O
21980,монограми,O
21981,теонімограми,O
21982,Графіті,B-inscription
21983,№,O
21984,596,O
21985,табл,O
21986,ХLIV,O
21987,3,O
21988,Опис,B-inscription
21989,Збереженість,O
21990,напису,I-preservation_state
21991,доволі,O
21992,добра,I-inscription_type
21993,його,O
21994,складові,O
21995,незважаючи,O
21996,на,I-inscription_type
21997,пошкод-,O
21998,З,O
21999,розбивкою,O
22000,на,I-inscription_type
22001,слова,O
22002,та,O
22003,відновленням,O
22004,втрачених,O
22005,фрагментів,O
22006,текст,O
22007,виглядає,O
22008,Опис,B-inscription
22009,Збереженість,O
22010,напису,I-preservation_state
22011,добра,I-inscription_type
22012,його,O
22013,складові,O
22014,чітко,O
22015,читаються,O
22016,ст͠:м҃:молите,O
22017,|,O
22018,г͠аꙁамѧ,O
22019,Графіті,B-inscription
22020,№,O
22021,572,O
22022,табл,O
22023,LІV,O
22024,5,O
22025,Святий,O
22026,Даниїл,O
22027,леного,O
22028,Василька,O
22029,Ростиславича,O
22030,Теребовлянського,O
22031,підкресливши,O
22032,його,O
22033,мучеництво,O
22034,Пом'яни,O
22035,Господи,O
22036,Сидора,O
22037,Ананію,O
22038,Рафаїла,O
22039,Григорія,O
22040,Категорія,O
22041,Молитовний,O
22042,напис,I-inscription_type
22043,Господи,O
22044,поможи,O
22045,Несторові,O
22046,т,O
22047,без,O
22048,засічок,O
22049,відповідно,O
22050,до,O
22051,типовості,O
22052,поширення,O
22053,таких,O
22054,форм,O
22055,написання,O
22056,літер,O
22057,верхня,O
22058,Опис,B-inscription
22059,Поверхня,O
22060,стіни,I-object_type
22061,в,O
22062,місці,O
22063,виконаного,O
22064,дуже,O
22065,дрібним,O
22066,почерком,O
22067,напису,I-preservation_state
22068,сильно,O
22069,Публікації,O
22070,В.,O
22071,Корнієнко163,O
22072,вибою,O
22073,та,O
22074,контекстом,O
22075,Розташування,B-other
22076,Висота,O
22077,від,O
22078,сучасної,O
22079,підлоги,O
22080,88,O
22081,см,O
22082,відстань,O
22083,від,O
22084,правого,O
22085,кута,O
22086,писання,O
22087,літер,O
